repoId,R_name,R_createdAt,R_age,R_commits,R_forks,R_stars,R_pullRequests,R_issues,R_securityIssues,R_ratioSecurityIssues,R_timeUntilFirstIssue,R_timeUntilFirstSecurityIssue,R_meanIssueInterval,R_meanSecurityIssueInterval
MDEwOlJlcG9zaXRvcnk0MDA0NzA4MA==,cia,8/1/2015 13:16:05,1713.44716435185,6129,21,34,1328,72,13,.180555555555556,503.174305555556,1252.50972222222,19.0204541826309,18.5580256558642
MDEwOlJlcG9zaXRvcnk0MDc2NTI5OA==,megamek,8/15/2015 14:47:29,1699.38369212963,17409,76,136,715,1068,2,.00187265917602996,147.222916666667,1088.96319444444,1.44142318727178,51.9688541666667
MDEwOlJlcG9zaXRvcnk0MDMyNTg4OQ==,mojarra,8/6/2015 20:40:08,1708.1387962963,12399,55,158,56,4357,3,.000688547165480835,0,0,1.31396106133701,504.594965277778
MDEwOlJlcG9zaXRvcnk0MTM5NzE3NA==,umple,8/26/2015 1:29:27,1688.93788194444,4811,56,117,612,923,3,.00325027085590466,.0472222222222222,.0486111111111111,1.79605030629106,.00564814814814815
MDEwOlJlcG9zaXRvcnk0MTQ3MjM5,xp,4/26/2012 12:06:41,2905.4953587963,22477,28,162,5727,2213,3,.00135562584726615,488.890972222222,2490.03472222222,1.08470477465923,132.350758101852
MDEwOlJlcG9zaXRvcnk0NDczNzM4Mw==,InflatableDonkey,10/22/2015 10:06:47,1631.57862268519,683,83,217,8,97,1,.0103092783505155,201.915277777778,613.702083333333,14.8096968810916, 
MDEwOlJlcG9zaXRvcnk0NDIzNDM2OA==,nakadi,10/14/2015 8:30:17,1639.64563657407,5230,121,594,1008,174,1,.00574712643678161,7.03958333333333,22.1756944444444,9.30445130813953, 
MDEwOlJlcG9zaXRvcnk0NDUxNjg4Ng==,dolphin-platform,10/19/2015 7:04:18,1634.70534722222,2333,54,69,375,540,7,.012962962962963,22.5541666666667,792.127777777778,1.82644908712754,17.2390162037037
MDEwOlJlcG9zaXRvcnk0NjgyMDI1OA==,irida,11/24/2015 21:40:11,1598.09709490741,21856,19,26,343,293,5,.0170648464163823,163.0375,1087.93680555556,4.92284302813265,20.7610445601852
MDEwOlJlcG9zaXRvcnk0NjgzNTg0MQ==,All-NBA,11/25/2015 3:47:46,1597.8418287037,811,32,64,22,223,1,.00448430493273543,28.7715277777778,308.492361111111,5.70873386961622, 
MDEwOlJlcG9zaXRvcnk0NTA2OTM4,kitodo-production,5/31/2012 11:36:27,2870.51635416667,10787,45,43,2977,375,6,.016,602.077083333333,602.093055555556,6.11714412867351,449.199673611111
MDEwOlJlcG9zaXRvcnk0NTIwNTU4NQ==,ev3dev-lang-java,10/29/2015 19:27:15,1624.18940972222,1002,28,70,64,646,1,.00154798761609907,.00416666666666667,542.925,2.47378950281804, 
MDEwOlJlcG9zaXRvcnk0NTkzNDg=,sms-backup-plus,1/5/2010 13:49:00,3747.42430555556,1755,477,1492,124,811,2,.00246609124537608,26.8527777777778,3019.73333333333,4.57393991222039,9.52820601851852
MDEwOlJlcG9zaXRvcnk0NzE4NDk2OA==,aem-core-wcm-components,12/1/2015 11:25:24,1591.52402777778,655,339,364,420,537,2,.0037243947858473,139.984027777778,1080.23333333333,2.67816941063254,256.180046296296
MDEwOlJlcG9zaXRvcnk0NzEzMzk3OA==,Contrast-Finder,11/30/2015 17:14:19,1592.28172453704,743,16,28,21,222,16,.0720720720720721,130.893055555556,411.16875,7.00503918247516,44.003724537037
MDEwOlJlcG9zaXRvcnk0ODE4MTcyOA==,riot-android,12/17/2015 15:18:05,1575.36244212963,7949,437,1309,878,2549,4,.00156924284032954,66.6756944444444,765.082638888889,.586168021524866,117.300802469136
MDEwOlJlcG9zaXRvcnk0OTg5Njg4MQ==,marklogic-data-hub,1/18/2016 18:38:10,1543.22349537037,4841,97,104,2585,1180,6,.00508474576271186,1.20347222222222,548.944444444444,1.29565598260238,66.6393981481481
MDEwOlJlcG9zaXRvcnk0OTY3MDk1Nw==,rdf4j,1/14/2016 19:47:32,1547.17532407407,3291,74,194,808,1228,10,.00814332247557003,4.11388888888889,236.190277777778,1.25233627012386,126.095996656379
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elasticsearch,2/8/2010 13:20:56,3713.4437962963,51429,16270,47805,31015,23100,768,.0332467532467532,1.28263888888889,2559.1625,.165487553011343,1.48156817386161
MDEwOlJlcG9zaXRvcnk1MDcxODE5Ng==,peer-os,1/30/2016 9:26:02,1531.6069212963,23559,26,56,2002,874,23,.0263157894736842,8.24444444444445,96.825,1.43300428921569,30.7349189814815
MDEwOlJlcG9zaXRvcnk1MDkxMjg3NA==,logisland,2/2/2016 10:27:21,1528.56434027778,2061,29,89,200,353,25,.0708215297450425,28.9951388888889,335.264583333333,4.51432629686261,45.1973321759259
MDEwOlJlcG9zaXRvcnk1MTMwNzAxNg==,hono,2/8/2016 15:45:28,1522.34342592593,3874,91,280,1031,817,1,.00122399020807834,6.96944444444445,1287.95763888889,1.8342081487162, 
MDEwOlJlcG9zaXRvcnk1MzUwMjAwNg==,apollo,3/9/2016 14:01:46,1492.41543981481,677,28,298,219,177,161,.909604519774011,509.819444444444,1116.84375,48.159299382716,2.19759714988426
MDEwOlJlcG9zaXRvcnk1NDU1NDU4,Restcomm-Connect,8/17/2012 17:47:44,2792.25851851852,8403,198,223,601,2403,58,.0241364960466084,765.6375,795.075,.827587610407976,21.3862719298246
MDEwOlJlcG9zaXRvcnk1NDYyNDUxMQ==,cuba,3/24/2016 7:55:56,1477.66949074074,14178,151,898,127,2598,71,.027328714395689,0,0,1.36099518250931,42.8715059523809
MDEwOlJlcG9zaXRvcnk1NjA5OTM0NQ==,timely,4/12/2016 21:33:37,1458.10165509259,332,100,334,29,166,3,.0180722891566265,12.8958333333333,14.7340277777778,8.52491219421582,30.7445138888889
MDEwOlJlcG9zaXRvcnk1NTU2MTA1OQ==,LibreTasks,4/5/2016 23:32:30,1465.01909722222,658,22,65,12,225,1,.00444444444444444,0,0,5.02975486837734, 
MDEwOlJlcG9zaXRvcnk1NTUwNTY3,android,8/25/2012 10:35:56,2784.55837962963,8097,2841,2901,1109,1725,19,.0110144927536232,62.2,233.894444444444,1.58459781280547,94.8911175411523
MDEwOlJlcG9zaXRvcnk1NTYzODQxMg==,mapbox-java,4/6/2016 20:30:35,1464.14542824074,682,81,264,601,531,26,.048964218,.771527777777778,82.0215277777778,2.86967537477954,18.4269342592593
MDEwOlJlcG9zaXRvcnk1NzkzNzM4,Activiti,9/13/2012 11:34:43,2765.51755787037,7791,5482,6413,1601,1599,4,.00250156347717323,60.8506944444445,1931.06597222222,1.68598852322367,16.663800154321
MDEwOlJlcG9zaXRvcnk1ODE2NTcz,ma-core-public,9/15/2012 1:26:51,2763.9396875,0,41,52,55,1510,2,.00132450331125828,6.74444444444444,556.838888888889,1.81554238399813,1685.81288194444
MDEwOlJlcG9zaXRvcnk1ODIwODY5Mw==,milo,5/6/2016 13:20:04,1434.44439814815,766,200,427,275,328,6,.0182926829268293,5.38194444444444,560.4375,4.39479292863736,157.356194444444
MDEwOlJlcG9zaXRvcnk2MDA3ODQ2Mw==,scipio-erp,5/31/2016 10:00:37,1409.58290509259,11414,126,186,4,12,1,.0833333333333333,226.00625,919.304861111111,81.9406701388889, 
MDEwOlJlcG9zaXRvcnk2MDAyMDQ0OA==,org.openhab.binding.zwave,5/30/2016 15:29:39,1410.35440972222,811,152,119,933,382,4,.0104712041884817,36.3284722222222,86.8118055555556,3.45221230597308,31.3632638888889
MDEwOlJlcG9zaXRvcnk2MDg3OTYzNg==,fili,6/10/2016 22:07:59,1399.07778935185,720,72,133,630,400,4,.01,45.8097222222222,347.852777777778,3.36441402953586,28.627550154321
MDEwOlJlcG9zaXRvcnk2MjA1Njc4MA==,eclipse.jdt.ls,6/27/2016 13:06:53,1382.45355324074,859,174,700,657,734,2,.00272479564032698,5.00833333333333,886.529861111111,1.85798332446674,5.93983796296296
MDEwOlJlcG9zaXRvcnk2MjcxNDIx,azkaban,10/18/2012 1:34:53,2730.9341087963,2432,1277,3094,1518,955,2,.00209424083769634,97.2875,1642.78333333333,2.74520766466309,283.927627314815
MDEwOlJlcG9zaXRvcnk2MjExNzgxMg==,pulsar,6/28/2016 7:00:03,1381.70829861111,4486,1319,5251,4704,1901,18,.0094687006838506,71.4138888888889,871.160416666667,.686921548441375,28.2862602124183
MDEwOlJlcG9zaXRvcnk2MjIwNjQ0,OpenRefine,10/15/2012 2:22:48,2733.90083333333,4659,1272,7156,714,1760,5,.00284090909090909,0,2227.61875,1.54888347137759,76.5100925925926
MDEwOlJlcG9zaXRvcnk2MTU0MDU4,webofneeds,10/10/2012 8:08:56,2738.66046296296,13664,19,51,1512,1730,36,.0208092485549133,372.193055555556,975.338194444444,1.38627825496051,40.5139080687831
MDEwOlJlcG9zaXRvcnk2MzA5NjgyMg==,pravega,7/11/2016 19:41:03,1368.17982638889,2512,222,920,1998,2643,109,.0412410139992433,10.9458333333333,17.1916666666667,.528639326629236,11.7706277863512
MDEwOlJlcG9zaXRvcnk2MzI1NDIw,killbill,10/21/2012 20:55:05,2727.12841435185,8237,495,2051,356,928,4,.00431034482758621,.0111111111111111,873.713888888889,2.9324130251595,246.912658179012
MDEwOlJlcG9zaXRvcnk2MzU4MTg4,druid,10/23/2012 19:08:07,2725.20269675926,10219,2451,9386,6190,3354,16,.00477042337507454,5.87638888888889,1787.09027777778,.80985864854216,60.5242384259259
MDEwOlJlcG9zaXRvcnk2NjUwNTM5,neo4j,11/12/2012 8:46:15,2705.63454861111,31427,1795,7566,9673,2730,7,.00256410256410256,.191666666666667,1394.88888888889,.986799445362887,214.526527777778
MDEwOlJlcG9zaXRvcnk2NjUzNTc=,todo.txt-android,5/13/2010 21:21:50,3619.10983796296,494,440,1233,194,316,2,.00632911392405063,28.0513888888889,238.926388888889,9.21093021535913,934.46162037037
MDEwOlJlcG9zaXRvcnk2NzE4MjU=,graylog2-server,5/17/2010 21:27:02,3615.10622685185,16343,810,5245,3207,4528,49,.010821554770318,120.203472222222,1423.56458333333,.776713384261324,45.2337900270062
MDEwOlJlcG9zaXRvcnk2Nzk5OTQ5Ng==,mesh,9/12/2016 10:28:41,1305.56341435185,5881,72,431,468,364,2,.00549450549450549,2.42916666666667,1176.38333333333,3.56154182056017,52.7180902777778
MDEwOlJlcG9zaXRvcnk2NzQxMjQzMA==,jasperreports,9/5/2016 10:43:22,1312.55321759259,9079,190,417,26,98,41,.418367346938776,204.490972222222,1016.53958333333,19.152265625,3.46415711805556
MDEwOlJlcG9zaXRvcnk2ODQzODI=,bigbluebutton,5/25/2010 1:42:41,3607.92869212963,26413,4065,3564,4344,4510,18,.00399113082039911,1904.81527777778,1904.93055555556,.375420565926091,54.0909654139434
MDEwOlJlcG9zaXRvcnk2OTI3MzA1OA==,sawmill,9/26/2016 17:10:59,1291.28403935185,657,14,66,185,18,11,.611111111111111,644.989583333333,915.706944444445,98.8487885802469,35.5651481481481
MDEwOlJlcG9zaXRvcnk2OTkwODU1MQ==,hillview,10/3/2016 20:32:15,1284.14427083333,935,16,61,364,236,5,.0211864406779661,15.0958333333333,412.946527777778,5.14765645128825,77.5139728009259
MDEwOlJlcG9zaXRvcnk2OTQwMDMyNg==,ksql,9/27/2016 21:30:15,1290.10399305556,6283,610,3253,3094,1801,8,.00444197667962243,134.919444444444,533.717361111111,.635063696159888,85.8435102513227
MDEwOlJlcG9zaXRvcnk2OTY2NjE5,hawtio,12/2/2012 11:58:08,2685.5012962963,8790,471,1133,491,2130,26,.0122065727699531,3.99305555555556,239.063194444444,1.26530322643138,62.0380916666667
MDEwOlJlcG9zaXRvcnk3MDk3NjM2NQ==,react-native-version-check,10/15/2016 8:35:35,1272.64195601852,439,56,226,40,66,15,.227272727272727,80.8958333333333,942.206944444445,22.8021944444444,.00458581349206349
MDEwOlJlcG9zaXRvcnk3Mjc2OTU0,alluxio,12/21/2012 17:43:46,2666.26127314815,30829,2309,4533,10558,641,4,.0062402496099844,292.863888888889,2208.01319444444,3.70407738615187,129.740648148148
MDEwOlJlcG9zaXRvcnk3MTgzNjE1OQ==,iri,10/24/2016 22:06:06,1263.07909722222,2409,422,1192,708,1037,5,.00482160077145612,14.9965277777778,328.571527777778,1.18755271760606,178.49990162037
MDEwOlJlcG9zaXRvcnk3MTgzNTM4MQ==,stack-docs,10/24/2016 21:52:57,1263.08822916667,1032,96,28,827,123,2,.016260162601626,1.14583333333333,841.409722222222,10.3634209104938,96.6885069444445
MDEwOlJlcG9zaXRvcnk3MzUxNTA1Mg==,nzyme,11/11/2016 22:06:03,1245.07913194444,110,83,473,138,98,1,.0102040816326531,.00138888888888889,924.930555555556,10.9106602044753, 
MDEwOlJlcG9zaXRvcnk3NTk2MDI4Nw==,Plan,12/8/2016 17:34:11,1218.26792824074,4016,57,196,398,972,8,.00823045267489712,43.3138888888889,86.1395833333333,1.19997788546594,92.2191798941799
MDEwOlJlcG9zaXRvcnk3NzM4NTYwNw==,janusgraph,12/26/2016 13:26:29,1200.43994212963,5982,801,3196,890,1167,12,.0102827763496144,4.46527777777778,28.1326388888889,1.01910772313691,86.1030208333333
MDEwOlJlcG9zaXRvcnk3ODU2NzM5OA==,XR3Player,1/10/2017 19:40:50,1185.17997685185,1789,79,325,36,34,2,.0588235294117647,280.809722222222,651.641666666667,26.6226993727599,328.833784722222
MDEwOlJlcG9zaXRvcnk3OTUyOTc3OQ==,personium-core,1/20/2017 5:51:41,1175.75577546296,1235,15,23,288,285,13,.0456140350877193,.2125,233.986111111111,4.254464133183,69.1839747299383
MDEwOlJlcG9zaXRvcnk4MDEwNjI2,molgenis,2/4/2013 16:02:36,2621.33152777778,22846,94,77,5888,2986,130,.043536503683858,7.11458333333333,64.96875,.909615440747227,19.3934058283089
MDEwOlJlcG9zaXRvcnk4MDM5NjU5,kairosdb,2/5/2013 22:27:48,2620.06402777778,1187,317,1529,185,428,3,.00700934579439252,75.6388888888889,2094.7375,5.95292985128407,178.608668981482
MDEwOlJlcG9zaXRvcnk4NjEwNTg3Nw==,spring-cloud-gcp,3/24/2017 19:58:20,1112.16782407407,1097,399,471,1298,962,13,.0135135135135135,3.77569444444444,537.346527777778,1.15098954670652,42.644871720679
MDEwOlJlcG9zaXRvcnk4NjU0MTI=,opentsdb,8/27/2010 2:05:20,3513.91296296296,1647,1188,4072,931,995,2,.00201005025125628,75.9652777777778,2812.69583333333,3.43677033163456,50.3384143518518
MDEwOlJlcG9zaXRvcnk5MTkxNjE=,Arduino,9/17/2010 19:10:36,3492.20097222222,7220,6675,10049,1396,8211,5,.000608939227865059,789.963888888889,3381.96180555556,.327269311282641,14.3152748842593
MDEwOlJlcG9zaXRvcnk5MzA2NTY4,WordPress-Android,4/8/2013 20:52:40,2558.13009259259,43535,1143,2274,6038,5478,1,.00018254837531946,28.8,1543.47430555556,.458809563364039, 
MDEwOlJlcG9zaXRvcnk5Mzg3NjgzNw==,zhcet-web,6/9/2017 16:20:11,1035.31931712963,823,13,13,318,118,2,.0169491525423729,7.23611111111111,449.988194444444,7.4208826489533,.0140972222222222
MDEwOlJlcG9zaXRvcnk5MzQyNTI5,crate,4/10/2013 9:17:16,2556.61300925926,10540,367,2695,8909,892,2,.00224215246636771,338.172222222222,875.054166666667,2.46129748104404,662.976967592593
MDEwOlJlcG9zaXRvcnk5NjI0MjI3Nw==,airsonic,7/4/2017 17:58:56,1010.25074074074,1464,158,1188,538,1050,8,.00761904761904762,0,0,2.37434685976803,183.561886574074
MDEwOlJlcG9zaXRvcnk5NjMxMjgzMg==,andOTP,7/5/2017 11:39:52,1009.51398148148,919,189,2033,131,371,15,.0404312668463612,11.2104166666667,39.0868055555556,2.74772267866458,61.9797321428571
MDEwOlJlcG9zaXRvcnk5NTEyNjEw,gwt,4/18/2013 3:12:03,2548.86663194444,9336,289,1191,34,9644,14,.00145167980091248,782.723611111111,783.559027777778,.181280095717797,117.908309294872
MDEwOlJlcG9zaXRvcnk5NzU5NDQ4,cloudstack,4/29/2013 22:27:12,2537.06444444444,32399,749,848,3405,539,9,.0166975881261596,1798.90277777778,2005.70555555556,1.35498092137506,37.993080150463
MDEwOlJlcG9zaXRvcnk5ODQ2NTc1MA==,alfresco-repository,7/26/2017 21:04:12,988.122083333333,12178,50,63,868,39,36,.923076923076923,623.525,613.761111111111,134.401545138889,1.42864947089947
MDEwOlJlcG9zaXRvcnk5ODQzMzYyNA==,alfresco-remote-api,7/26/2017 14:43:20,988.386574074074,5815,26,18,566,26,22,.846153846153846,623.733333333333,614.024305555556,71.0174729938272,2.73120315255732
MDEwOlJlcG9zaXRvcnkxMDEyODU1NzQ=,dble,8/24/2017 10:58:41,959.542581018518,2348,220,595,734,1005,1,.00099502487562189,.0138888888888889,9.09166666666667,.938831122373619, 
MDEwOlJlcG9zaXRvcnkxMDk4MTk5NA==,feign,6/26/2013 23:28:16,2479.02203703704,825,1150,5581,575,597,1,.0016750418760469,9.72430555555555,2387.32430555556,4.11536013849985, 
MDEwOlJlcG9zaXRvcnkxMDM2OTQzNzc=,open-liberty,9/15/2017 19:34:25,937.18443287037,16319,396,713,6628,4836,495,.102357320099256,3.05555555555556,3.11666666666667,.211313468061956,1.85004704603389
MDEwOlJlcG9zaXRvcnkxMDMxNTU4NjI=,openrouteservice,9/11/2017 15:49:01,941.340960648148,1869,113,399,288,398,1,.00251256281407035,1.93611111111111,559.988194444445,2.31625403338945, 
MDEwOlJlcG9zaXRvcnkxMDQ1OTc2,py4j,11/2/2010 20:58:18,3446.12618055556,736,137,701,58,337,1,.0029673590504451,0,2288.05833333333,10.2174977888336, 
MDEwOlJlcG9zaXRvcnkxMDQ5NzQ2OTM=,open-kilda,9/27/2017 5:13:18,925.782430555556,5867,41,49,2127,1209,4,.0033085194375517,12.1305555555556,13.0659722222222,.744196322828227,259.710397376543
MDEwOlJlcG9zaXRvcnkxMDU5OTI5,mystamps,11/7/2010 20:00:26,3441.16636574074,4031,36,20,140,1160,47,.0405172413793103,1271.70555555556,1391.70902777778,1.93548304065081,44.1555339170692
MDEwOlJlcG9zaXRvcnkxMDUyODQxNDY=,powsybl-core,9/29/2017 14:51:18,923.381041666667,1851,17,56,1012,230,4,.0173913043478261,25.7347222222222,555.747222222222,3.91210375514404,102.703553240741
MDEwOlJlcG9zaXRvcnkxMDUzMTQxNzg=,azure-libraries-for-java,9/29/2017 20:27:25,923.147627314815,646,91,79,804,325,1,.00307692307692308,0,723.516666666667,3.98592857757137, 
MDEwOlJlcG9zaXRvcnkxMDY0NTYz,netty,11/9/2010 9:22:21,3439.60947916667,9767,10846,22949,5107,4994,8,.00160192230676812,352.592361111111,415.929861111111,.615800944500166,266.49652281746
MDEwOlJlcG9zaXRvcnkxMDY2MzM2MA==,wallet-android,6/13/2013 9:52:41,2492.58841435185,6679,303,501,69,476,16,.0336134453781513,32.6305555555556,660.500694444444,5.25282019083354,85.7278603395062
MDEwOlJlcG9zaXRvcnkxMjcyMTI5,dropwizard,1/19/2011 19:52:29,3368.17188657407,5322,3166,7579,1954,1251,16,.0127897681854516,112.006944444444,1386.62569444444,2.61903175460712,128.680447530864
MDEwOlJlcG9zaXRvcnkxMjk5NTQ4Mjg=,jersey,4/17/2018 19:28:06,723.188819444444,310,190,378,363,4057,57,.0140497904855805,0,0,1.14650018696803,39.9136326058201
MDEwOlJlcG9zaXRvcnkxMjkyNTkyMDE=,mojarra,4/12/2018 13:53:46,728.42099537037,148,45,63,182,4513,3,.000664746288499889, ,0,1.26954867528318,504.594965277778
MDEwOlJlcG9zaXRvcnkxMjMyODQ4MA==,sendgrid-java,8/23/2013 17:20:32,2421.27740740741,574,320,325,259,355,1,.0028169014084507,3.49583333333333,2074.8875,6.75247711415381, 
MDEwOlJlcG9zaXRvcnkxMjQyMzAyMDQ=,micronaut-core,3/7/2018 12:05:08,764.496435185185,8153,579,3504,1251,1635,22,.0134556574923547,36.1159722222222,190.079166666667,.44101649377355,9.94642085537919
